"_time","src_ip","src_zone","dest_ip","dest_zone","dest_port","packets_out","packets_in",dvc,"session_end_reason",flags,app
"2026-08-06T13:20:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,31,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T13:12:47.204-0400","204.99.1.30",Inside,"216.104.93.14",DMZ2,1490,15,14,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T13:11:45.204-0400","204.99.1.30",Inside,"216.104.93.14",DMZ2,1490,15,14,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T13:10:41.204-0400","204.99.1.30",Inside,"216.104.93.14",DMZ2,1490,15,13,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T13:10:26.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,27,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T13:09:43.204-0400","204.99.1.30",Inside,"216.104.93.14",DMZ2,1490,15,13,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T13:08:40.204-0400","204.99.1.30",Inside,"216.104.93.14",DMZ2,1490,14,13,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T13:07:42.204-0400","204.99.1.30",Inside,"216.104.93.14",DMZ2,1490,16,13,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T13:05:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,78,148,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T13:00:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,29,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:50:26.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,30,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:45:19.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,77,148,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:40:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,29,38,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:30:26.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,29,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:25:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,81,152,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:20:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,28,38,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:10:50.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,29,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:05:50.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,1355,2690,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T12:00:19.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,27,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:50:24.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,31,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:45:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,64,120,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:40:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,29,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:30:25.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,29,40,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:25:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,79,151,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:20:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,28,38,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:10:25.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,28,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:05:21.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,77,146,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T11:00:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,27,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:50:23.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,27,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:45:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,56,97,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:40:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,27,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:30:23.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,30,38,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:25:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,77,146,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:20:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,34,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:10:23.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,29,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:05:19.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,72,134,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T10:00:19.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,32,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:50:23.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,32,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:45:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,57,98,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:40:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,29,38,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:30:23.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,26,38,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:25:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,69,123,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:20:19.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,28,38,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:10:23.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,28,38,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:05:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,61,109,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T09:00:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,27,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T08:50:25.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,28,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T08:45:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,62,111,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T08:40:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,27,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T08:30:22.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,27,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T08:25:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,66,116,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
